geoid,gisjoin,state_fips,state_name,state_abbr,county_name,county_fips,tract_fips,area_km2,centroid_x,very_low_mf_own_hh,very_low_mf_rent_hh,very_low_sf_own_hh,very_low_sf_rent_hh,low_mf_own_hh,low_mf_rent_hh,low_sf_own_hh,low_sf_rent_hh,mod_mf_own_hh,mod_mf_rent_hh,mod_sf_own_hh,mod_sf_rent_hh,mid_mf_own_hh,mid_mf_rent_hh,mid_sf_own_hh,mid_sf_rent_hh,high_mf_own_hh,high_mf_rent_hh,high_sf_own_hh,high_sf_rent_hh,very_low_mf_own_bldg_cnt,very_low_mf_rent_bldg_cnt,high_sf_rent_elep_hh,company_na,company_ty,avg_monthly_consumption_kwh,avg_monthly_bill_dlrs,dlrs_kwh,avg_pbi_usd_p_kwh,avg_cbi_usd_p_w,avg_ibi_pct,hh_size_1,hh_size_2,hh_size_3,hh_size_4,fam_med_income,hh_med_income,hh_gini_index,pop_over_65,pop_under_18,hu_monthly_owner_costs_lessthan_1000dlrs,hu_monthly_owner_costs_greaterthan_1000dlrs,hu_own,hu_rent,hu_vintage_2010toafter,hu_vintage_2000to2009,hu_vintage_1980to1999,hu_vintage_1960to1970,hu_vintage_1940to1959,hu_vintage_1939toearlier,climate_zone_description,locale
53075000900,G5300750000900,53,Washington,WA,Whitman County,75,900,2064.715214,-117.6276263,2,161,40,60,1,158,41,31,1,145,133,51,7,113,168,39,11,111,302,29,0.4701,27.6121,110.1691655,Avista Corp,IOU,895.7579186,86.44282301,0.096502438,,,,620,681,157,277,53393,43305,0.4227,895,892,914,247,557,1250,11,107,168,331,301,817,Cool,Rural - Remote
53077003400,G5300770003400,53,Washington,WA,Yakima County,77,3400,27.66957406,-120.5704113,0,44,61,66,0,29,32,9,1,33,77,29,0,47,139,50,10,62,692,63,1.0878,10.1624,127.47937,PacifiCorp,IOU,1208.968667,106.3318784,0.087952551,,,,275,683,256,433,68793,63750,0.3614,698,1107,549,835,1054,826,17,265,441,596,141,187,Cool,Suburban - Midsize
53057951200,G5300570951200,53,Washington,WA,Skagit County,57,951200,765.7387545,-121.9417515,0,31,37,22,0,9,12,12,3,32,89,30,5,25,115,26,8,48,529,43,0,4.3566,87.948561,PUD No 1 of Snohomish County,PSubdiv,906.2734052,87.34584868,0.096379137,,,,230,500,169,282,86719,76454,0.4168,491,692,328,738,762,301,43,319,377,179,121,142,Mixed,Rural - Distant
53073010100,G5300730010100,53,Washington,WA,Whatcom County,73,10100,4341.992352,-121.4962746,2,200,149,114,8,146,168,71,5,140,225,82,17,111,347,66,48,126,698,46,0.6328,27.9648,82.2701935,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,776,1243,314,692,57212,48010,0.4038,909,1796,1217,1020,1313,2451,49,261,1181,932,196,406,Mixed,Rural - Remote
53009000400,G5300090000400,53,Washington,WA,Clallam County,9,400,1067.564852,-124.3276432,1,15,35,30,0,8,20,14,0,9,74,24,0,21,79,22,2,17,178,28,0.2644,3.0646,109.64865,PUD No 1 of Clallam County,PSubdiv,1221.570213,114.4182836,0.093664926,,,,190,324,79,78,52768,42394,0.4545,328,254,386,125,180,435,0,33,272,248,83,35,Mixed,Rural - Distant
53009000600,G5300090000600,53,Washington,WA,Clallam County,9,600,1090.343407,-123.8188391,1,40,104,67,0,9,25,19,1,27,114,39,1,21,148,39,10,47,404,50,0.7926,5.1466,109.64865,PUD No 1 of Clallam County,PSubdiv,1221.570213,114.4182836,0.093664926,,,,303,681,158,206,55909,50000,0.4269,782,530,696,449,561,457,7,248,557,373,70,93,Mixed,Rural - Remote
53009000700,G5300090000700,53,Washington,WA,Clallam County,9,700,12.38783632,-123.4907871,0,16,73,47,0,30,50,26,2,25,105,37,0,19,124,30,1,55,462,51,0.8686,2.7253,109.64865,PUD No 1 of Clallam County,PSubdiv,1221.570213,114.4182836,0.093664926,,,,432,497,101,342,66429,56842,0.4009,662,1165,432,575,679,1388,26,298,355,505,98,90,Mixed,Town - Remote
53057950800,G5300570950800,53,Washington,WA,Skagit County,57,950800,190.3402795,-122.3830279,2,65,69,69,2,27,70,42,2,84,163,83,3,53,206,44,28,81,982,86,0.6244,10.498,87.948561,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,548,1197,191,440,78774,70833,0.4379,1082,1148,746,1193,1258,1303,70,433,757,550,157,409,Mixed,Rural - Distant
53057950900,G5300570950900,53,Washington,WA,Skagit County,57,950900,163.3789713,-122.202427,0,52,42,55,0,27,41,24,4,33,90,32,1,36,135,33,15,59,542,61,0.5256,7.4326,87.948561,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,245,663,151,350,73684,62961,0.3787,549,852,441,731,766,684,25,205,650,224,92,213,Mixed,Rural - Fringe
53055960500,G5300550960500,53,Washington,WA,San Juan County,55,960500,125.0587751,-122.8780226,2,40,84,88,1,24,93,39,2,22,140,51,1,23,152,39,8,23,437,48,0.3579,8.8559,125.3962195,Orcas Power & Light Coop,DistCoop,880.8189379,117.6327614,0.13354931,,,,411,738,119,172,62756,48807,0.4987,986,464,607,466,491,832,34,308,575,360,100,63,Cool,Rural - Distant
